,HexColor,ColorOrder,Kingdom,Phylum,Class,Order,Family,Genus,PFG
0,#0F2F9D,163,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Firmicutes Lactobacillaceae Lactobacillus
1,#918075,7,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Firmicutes Lachnospiraceae Blautia
2,#16DDD3,44,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroidetes Bacteroidaceae Bacteroides
3,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Firmicutes Peptostreptococcaceae Romboutsia
7,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Firmicutes Lachnospiraceae Anaerostipes
9,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter,Firmicutes Lachnospiraceae Agathobacter
10,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae NK4A214 group,Firmicutes Ruminococcaceae Ruminococcaceae NK4A214 group
12,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae UCG-003,Firmicutes Erysipelotrichaceae Erysipelotrichaceae UCG-003
13,#D0D0D0,189,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas 3,Firmicutes Veillonellaceae Selenomonas 3
14,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus 3,Firmicutes Lachnospiraceae Coprococcus 3
15,#D0D0D0,189,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Fusobacteria Leptotrichiaceae Leptotrichia
17,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Firmicutes Ruminococcaceae Faecalibacterium
18,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,[Clostridium] innocuum group,Firmicutes Erysipelotrichaceae [Clostridium] innocuum group
19,#6683EB,168,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Firmicutes Bacillaceae Bacillus
20,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-005,Firmicutes Ruminococcaceae Ruminococcaceae UCG-005
21,#6683EB,168,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Firmicutes Lactobacillaceae Lactobacillus
22,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,[Eubacterium] coprostanoligenes group,Firmicutes Ruminococcaceae [Eubacterium] coprostanoligenes group
23,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,Firmicutes Ruminococcaceae Subdoligranulum
24,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae R-7 group,Firmicutes Christensenellaceae Christensenellaceae R-7 group
25,#B8D93F,126,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Firmicutes Streptococcaceae Streptococcus
26,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Firmicutes Erysipelotrichaceae Erysipelatoclostridium
28,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus 2,Firmicutes Lachnospiraceae Coprococcus 2
29,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Firmicutes Lachnospiraceae Roseburia
31,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella 7,Bacteroidetes Prevotellaceae Prevotella 7
33,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium 9,Firmicutes Ruminococcaceae Ruminiclostridium 9
34,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Firmicutes Lachnospiraceae Dorea
36,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,Firmicutes Peptostreptococcaceae Peptostreptococcus
38,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroidetes Bacteroidaceae Bacteroides
39,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Slackia,Actinobacteria Eggerthellaceae Slackia
41,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella 4,Firmicutes Lachnospiraceae Tyzzerella 4
43,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Neisseria,Proteobacteria Neisseriaceae Neisseria
44,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,Firmicutes Clostridiaceae 1 Clostridium sensu stricto 1
45,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinobacteria Actinomycetaceae Actinomyces
47,#D0D0D0,189,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Firmicutes Veillonellaceae Veillonella
48,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Proteobacteria Pasteurellaceae Haemophilus
49,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Bacteroidetes Porphyromonadaceae Porphyromonas
50,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Bacteroidetes Prevotellaceae Alloprevotella
58,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Actinobacteria Bifidobacteriaceae Bifidobacterium
59,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 15,Firmicutes Clostridiaceae 1 Clostridium sensu stricto 15
61,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Eubacterium] hallii group,Firmicutes Lachnospiraceae [Eubacterium] hallii group
65,#D0D0D0,189,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema 2,Spirochaetes Spirochaetaceae Treponema 2
66,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,GCA-900066575,Firmicutes Lachnospiraceae GCA-900066575
67,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Bacteroidetes Prevotellaceae Prevotella
68,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Actinobacteria Corynebacteriaceae Corynebacterium
71,#D0D0D0,189,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Fretibacterium,Synergistetes Synergistaceae Fretibacterium
73,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Eubacterium] ventriosum group,Firmicutes Lachnospiraceae [Eubacterium] ventriosum group
78,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Actinobacteria Coriobacteriaceae Collinsella
79,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Firmicutes Lachnospiraceae Lachnoclostridium
81,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus 1,Firmicutes Ruminococcaceae Ruminococcus 1
83,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,Firmicutes Ruminococcaceae Oscillospira
84,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,Family XIII AD3011 group,Firmicutes Family XIII Family XIII AD3011 group
89,#6683EB,168,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Firmicutes Lactobacillaceae Pediococcus
90,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoanaerobaculum,Firmicutes Lachnospiraceae Lachnoanaerobaculum
91,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Proteobacteria Pasteurellaceae Aggregatibacter
92,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium,Firmicutes Lachnospiraceae Oribacterium
98,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Proteobacteria Legionellaceae Legionella
103,#D0D0D0,189,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas 4,Firmicutes Veillonellaceae Selenomonas 4
104,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Proteobacteria Enterobacteriaceae Escherichia-Shigella
108,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Shuttleworthia,Firmicutes Lachnospiraceae Shuttleworthia
109,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hungatella,Firmicutes Lachnospiraceae Hungatella
112,#D0D0D0,189,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Flexilinea,Chloroflexi Anaerolineaceae Flexilinea
114,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Bacteroidetes Rikenellaceae Alistipes
115,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerofilum,Firmicutes Ruminococcaceae Anaerofilum
116,#CA0BE8,42,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Verrucomicrobia Akkermansiaceae Akkermansia
118,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,F0058,Bacteroidetes Paludibacteraceae F0058
120,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Actinobacteria Atopobiaceae Atopobium
123,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-014,Firmicutes Ruminococcaceae Ruminococcaceae UCG-014
125,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Peptoniphilus,Firmicutes Family XI Peptoniphilus
128,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Actinobacteria Microbacteriaceae Microbacterium
129,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Friedmanniella,Actinobacteria Propionibacteriaceae Friedmanniella
131,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Firmicutes Erysipelotrichaceae Holdemanella
134,#6683EB,168,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Firmicutes Aerococcaceae Abiotrophia
135,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Candidatus Stoquefichus,Firmicutes Erysipelotrichaceae Candidatus Stoquefichus
138,#FBF528,147,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Firmicutes Staphylococcaceae Staphylococcus
139,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus] torques group,Firmicutes Lachnospiraceae [Ruminococcus] torques group
140,#D0D0D0,189,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacteria Fusobacteriaceae Fusobacterium
149,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus] gnavus group,Firmicutes Lachnospiraceae [Ruminococcus] gnavus group
152,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Bacteroidetes Tannerellaceae Parabacteroides
158,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,Firmicutes Lachnospiraceae Marvinbryantia
160,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,Bacteroidetes Barnesiellaceae Coprobacter
161,#066D28,105,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Firmicutes Enterococcaceae Enterococcus
163,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus 2,Firmicutes Ruminococcaceae Ruminococcus 2
164,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,[Eubacterium] brachy group,Firmicutes Family XIII [Eubacterium] brachy group
166,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium 1,Actinobacteria Corynebacteriaceae Corynebacterium 1
171,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Epulopiscium,Firmicutes Lachnospiraceae Epulopiscium
174,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Bacteroidetes Prevotellaceae Paraprevotella
176,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,Firmicutes Erysipelotrichaceae Faecalitalea
177,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Actinobacteria Brevibacteriaceae Brevibacterium
179,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,CHKCI001,Firmicutes Lachnospiraceae CHKCI001
183,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus,Firmicutes Ruminococcaceae Butyricicoccus
187,#F83333,210,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Proteobacteria Beijerinckiaceae Methylobacterium
198,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Proteobacteria Enterobacteriaceae Citrobacter
199,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetanaerobacterium,Firmicutes Ruminococcaceae Acetanaerobacterium
201,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,Actinobacteria Actinomycetaceae Varibaculum
202,#D0D0D0,189,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,Firmicutes Veillonellaceae Megasphaera
205,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Anaerococcus,Firmicutes Family XI Anaerococcus
209,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-013,Firmicutes Ruminococcaceae Ruminococcaceae UCG-013
210,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-002,Firmicutes Ruminococcaceae Ruminococcaceae UCG-002
212,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,S5-A14a,Firmicutes Family XIII S5-A14a
214,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fournierella,Firmicutes Ruminococcaceae Fournierella
215,#D0D0D0,189,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Synergistetes Synergistaceae Cloacibacillus
216,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,Mogibacterium,Firmicutes Family XIII Mogibacterium
217,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium 5,Firmicutes Ruminococcaceae Ruminiclostridium 5
220,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Eubacterium] oxidoreducens group,Firmicutes Lachnospiraceae [Eubacterium] oxidoreducens group
234,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae UCG-006,Firmicutes Erysipelotrichaceae Erysipelotrichaceae UCG-006
237,#F83333,210,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Proteobacteria Desulfovibrionaceae Desulfovibrio
242,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus] gauvreauii group,Firmicutes Lachnospiraceae [Ruminococcus] gauvreauii group
250,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium 5,Firmicutes Lachnospiraceae Lachnoclostridium 5
257,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,Actinobacteria Micrococcaceae Kocuria
258,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Sutterella,Proteobacteria Burkholderiaceae Sutterella
264,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,Firmicutes Lachnospiraceae Eisenbergiella
265,#D0D0D0,189,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Firmicutes Veillonellaceae Dialister
267,#35D73C,87,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Firmicutes Enterococcaceae Enterococcus
269,#6683EB,168,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,Firmicutes Staphylococcaceae Macrococcus
273,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NK4A136 group,Firmicutes Lachnospiraceae Lachnospiraceae NK4A136 group
276,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,Firmicutes Erysipelotrichaceae Catenibacterium
278,#6683EB,168,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Firmicutes Leuconostocaceae Leuconostoc
282,#6683EB,168,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Fructobacillus,Firmicutes Leuconostocaceae Fructobacillus
292,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella 6,Bacteroidetes Prevotellaceae Prevotella 6
297,#D0D0D0,189,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasma,Tenericutes Anaeroplasmataceae Anaeroplasma
301,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Ezakiella,Firmicutes Family XI Ezakiella
303,#0F2F9D,162,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Firmicutes Leuconostocaceae Leuconostoc
304,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Candidatus Berkiella,Proteobacteria Unknown Family Candidatus Berkiella
309,#D0D0D0,189,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Anaeroglobus,Firmicutes Veillonellaceae Anaeroglobus
316,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Firmicutes Eubacteriaceae Eubacterium
318,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,Firmicutes Peptostreptococcaceae Terrisporobacter
320,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter,Firmicutes Lachnospiraceae Fusicatenibacter
323,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,Firmicutes Ruminococcaceae Oscillibacter
324,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Intestinibacter,Firmicutes Peptostreptococcaceae Intestinibacter
325,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Eubacterium] eligens group,Firmicutes Lachnospiraceae [Eubacterium] eligens group
327,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Firmicutes Ruminococcaceae Flavonifractor
328,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Eubacterium] xylanophilum group,Firmicutes Lachnospiraceae [Eubacterium] xylanophilum group
330,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Eggerthella,Actinobacteria Eggerthellaceae Eggerthella
331,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Merdibacter,Firmicutes Erysipelotrichaceae Merdibacter
338,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Sellimonas,Firmicutes Lachnospiraceae Sellimonas
339,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Bacteroidetes Barnesiellaceae Barnesiella
343,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,Firmicutes Lachnospiraceae Lachnospira
349,#F83333,210,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,Proteobacteria Desulfovibrionaceae Bilophila
351,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Bacteroidetes Marinifilaceae Butyricimonas
353,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Actinobacteria Micrococcaceae Rothia
354,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Bacteroidetes Marinifilaceae Odoribacter
355,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Dielma,Firmicutes Erysipelotrichaceae Dielma
358,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae ND3007 group,Firmicutes Lachnospiraceae Lachnospiraceae ND3007 group
359,#6683EB,168,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Firmicutes Streptococcaceae Lactococcus
368,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetitomaculum,Firmicutes Lachnospiraceae Acetitomaculum
371,#A8A8A8,177,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Firmicutes Veillonellaceae Veillonella
378,#F83333,210,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Proteobacteria Sphingomonadaceae Sphingomonas
