,HexColor,ColorOrder,Kingdom,Phylum,Class,Order,Family,Genus,PFG
381,#D0D0D0,189,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus,Firmicutes Acidaminococcaceae Acidaminococcus
382,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerocolumna,Firmicutes Lachnospiraceae Anaerocolumna
385,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 16,Firmicutes Clostridiaceae 1 Clostridium sensu stricto 16
387,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-004,Firmicutes Ruminococcaceae Ruminococcaceae UCG-004
388,#6683EB,168,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Firmicutes Leuconostocaceae Weissella
389,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Lautropia,Proteobacteria Burkholderiaceae Lautropia
391,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Negativibacillus,Firmicutes Ruminococcaceae Negativibacillus
393,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella 3,Firmicutes Lachnospiraceae Tyzzerella 3
403,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,Firmicutes Erysipelotrichaceae Turicibacter
404,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,[Eubacterium] nodatum group,Firmicutes Family XIII [Eubacterium] nodatum group
405,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella 9,Bacteroidetes Prevotellaceae Prevotella 9
407,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-010,Firmicutes Ruminococcaceae Ruminococcaceae UCG-010
408,#D0D0D0,189,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Succiniclasticum,Firmicutes Acidaminococcaceae Succiniclasticum
410,#F83333,210,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Mailhella,Proteobacteria Desulfovibrionaceae Mailhella
411,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenisphaera,Firmicutes Erysipelotrichaceae Catenisphaera
414,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,Firmicutes Lachnospiraceae Butyrivibrio
417,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,Proteobacteria Enterobacteriaceae Proteus
420,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,Firmicutes Ruminococcaceae Intestinimonas
421,#D0D0D0,189,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Synergistes,Synergistetes Synergistaceae Synergistes
429,#D0D0D0,189,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Negativicoccus,Firmicutes Veillonellaceae Negativicoccus
432,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Parascardovia,Actinobacteria Bifidobacteriaceae Parascardovia
438,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Parasutterella,Proteobacteria Burkholderiaceae Parasutterella
446,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Anaerosalibacter,Firmicutes Family XI Anaerosalibacter
452,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,Firmicutes Eubacteriaceae Anaerofustis
457,#F83333,208,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Achromobacter,Proteobacteria Burkholderiaceae Achromobacter
459,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Dubosiella,Firmicutes Erysipelotrichaceae Dubosiella
465,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,Firmicutes Lachnospiraceae Tyzzerella
469,#8FA831,121,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Firmicutes Streptococcaceae Streptococcus
471,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Sedimentibacter,Firmicutes Family XI Sedimentibacter
479,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,Firmicutes Ruminococcaceae Ruminiclostridium
481,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Bacteroidetes Dysgonomonadaceae Dysgonomonas
482,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerosporobacter,Firmicutes Lachnospiraceae Anaerosporobacter
485,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Candidatus Soleaferrea,Firmicutes Ruminococcaceae Candidatus Soleaferrea
494,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae UCG-004,Firmicutes Lachnospiraceae Lachnospiraceae UCG-004
495,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Firmicutes Peptostreptococcaceae Clostridioides
496,#6683EB,168,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Firmicutes Paenibacillaceae Paenibacillus
501,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,UBA1819,Firmicutes Ruminococcaceae UBA1819
503,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Actinobacteria Nocardiaceae Rhodococcus
515,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Robinsoniella,Firmicutes Lachnospiraceae Robinsoniella
516,#D0D0D0,189,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Tenericutes Mycoplasmataceae Mycoplasma
521,#D0D0D0,189,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,Firmicutes Acidaminococcaceae Phascolarctobacterium
523,#D0D0D0,189,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus-Thermus Deinococcaceae Deinococcus
524,#D0D0D0,189,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,Deinococcus-Thermus Trueperaceae Truepera
526,#D0D0D0,189,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Epsilonbacteraeota Campylobacteraceae Campylobacter
528,#D0D0D0,189,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,Candidatus Babela,Dependentiae Babeliaceae Candidatus Babela
531,#D0D0D0,189,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,Fusobacteria Leptotrichiaceae Sneathia
533,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Firmicutes Ruminococcaceae Fastidiosipila
544,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Parvimonas,Firmicutes Family XI Parvimonas
548,#A8A8A8,173,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinobacteria Actinomycetaceae Actinomyces
570,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Finegoldia,Firmicutes Family XI Finegoldia
572,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum,Actinobacteria Actinomycetaceae Actinotignum
574,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,Actinobacteria Actinomycetaceae Actinobaculum
593,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Pseudopropionibacterium,Actinobacteria Propionibacteriaceae Pseudopropionibacterium
600,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Eubacterium] fissicatena group,Firmicutes Lachnospiraceae [Eubacterium] fissicatena group
610,#D8D321,143,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Firmicutes Staphylococcaceae Staphylococcus
612,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Proteobacteria Xanthomonadaceae Xanthomonas
613,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 2,Firmicutes Clostridiaceae 1 Clostridium sensu stricto 2
617,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Defluviitaleaceae,Defluviitaleaceae UCG-011,Firmicutes Defluviitaleaceae Defluviitaleaceae UCG-011
624,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes Flavobacteriaceae Flavobacterium
636,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Herbinix,Firmicutes Lachnospiraceae Herbinix
639,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Firmicutes bacterium CAG:345,Firmicutes Erysipelotrichaceae Firmicutes bacterium CAG:345
653,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus 1,Firmicutes Lachnospiraceae Coprococcus 1
677,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 13,Firmicutes Clostridiaceae 1 Clostridium sensu stricto 13
682,#F83333,210,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Proteobacteria Xanthobacteraceae Bradyrhizobium
685,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paraclostridium,Firmicutes Peptostreptococcaceae Paraclostridium
693,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae FCS020 group,Firmicutes Lachnospiraceae Lachnospiraceae FCS020 group
698,#6683EB,168,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,Firmicutes Planococcaceae Lysinibacillus
700,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 6,Firmicutes Clostridiaceae 1 Clostridium sensu stricto 6
705,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia,Proteobacteria Enterobacteriaceae Providencia
707,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus,Firmicutes Peptococcaceae Peptococcus
715,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales vadinBB60 group,Genus gut metagenome,Firmicutes Clostridiales vadinBB60 group Genus gut metagenome
718,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Moryella,Firmicutes Lachnospiraceae Moryella
725,#6683EB,168,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Firmicutes Aerococcaceae Aerococcus
732,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia,Actinobacteria Bifidobacteriaceae Scardovia
738,#AF0000,205,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Parasutterella,Proteobacteria Burkholderiaceae Parasutterella
740,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptoclostridium,Firmicutes Peptostreptococcaceae Peptoclostridium
742,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,Firmicutes Erysipelotrichaceae Coprobacillus
758,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Bergeyella,Bacteroidetes Weeksellaceae Bergeyella
764,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Eikenella,Proteobacteria Neisseriaceae Eikenella
765,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella 2,Bacteroidetes Prevotellaceae Prevotella 2
768,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Morganella,Proteobacteria Enterobacteriaceae Morganella
770,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Proteobacteria Xanthomonadaceae Stenotrophomonas
786,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,Firmicutes Ruminococcaceae Anaerotruncus
797,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Tissierella,Firmicutes Family XI Tissierella
813,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,Firmicutes Erysipelotrichaceae Solobacterium
826,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,DTU089,Firmicutes Ruminococcaceae DTU089
827,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Proteobacteria Pseudomonadaceae Pseudomonas
845,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Asteroleplasma,Firmicutes Erysipelotrichaceae Asteroleplasma
861,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,GCA-900066755,Firmicutes Lachnospiraceae GCA-900066755
866,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Paraeggerthella,Actinobacteria Eggerthellaceae Paraeggerthella
877,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Proteobacteria Moraxellaceae Acinetobacter
891,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Johnsonella,Firmicutes Lachnospiraceae Johnsonella
897,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Howardella,Firmicutes Lachnospiraceae Howardella
898,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Garciella,Firmicutes Eubacteriaceae Garciella
899,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Catabacter,Firmicutes Christensenellaceae Catabacter
902,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae UCG-004,Firmicutes Erysipelotrichaceae Erysipelotrichaceae UCG-004
930,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 3,Firmicutes Clostridiaceae 1 Clostridium sensu stricto 3
932,#CFB7A7,12,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Sellimonas,Firmicutes Lachnospiraceae Sellimonas
933,#6683EB,165,Bacteria,Firmicutes,Bacilli,Bacillales,Family XI,Gemella,Firmicutes Family XI Gemella
947,#D0D0D0,189,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Pyramidobacter,Synergistetes Synergistaceae Pyramidobacter
948,#D0D0D0,189,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megamonas,Firmicutes Veillonellaceae Megamonas
958,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Gordonibacter,Actinobacteria Eggerthellaceae Gordonibacter
962,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Aquaspirillaceae,Microvirgula,Proteobacteria Aquaspirillaceae Microvirgula
1007,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium 6,Firmicutes Ruminococcaceae Ruminiclostridium 6
1035,#F83333,210,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,Proteobacteria Xanthobacteraceae Afipia
1057,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Aeriscardovia,Actinobacteria Bifidobacteriaceae Aeriscardovia
1075,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Actinobacteria Atopobiaceae Olsenella
1078,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,Actinobacteria Nocardiaceae Gordonia
1083,#A8A8A8,184,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Eggerthella,Actinobacteria Eggerthellaceae Eggerthella
1094,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,Firmicutes Erysipelotrichaceae Faecalibaculum
1140,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Variovorax,Proteobacteria Burkholderiaceae Variovorax
1229,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Senegalimassilia,Actinobacteria Eggerthellaceae Senegalimassilia
1241,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,Firmicutes Lachnospiraceae Cellulosilyticum
1246,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Adlercreutzia,Actinobacteria Eggerthellaceae Adlercreutzia
1264,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,F0332,Actinobacteria Actinomycetaceae F0332
1326,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae UCG-002,Firmicutes Lachnospiraceae Lachnospiraceae UCG-002
1350,#A8A8A8,170,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Actinobacteria Bifidobacteriaceae Bifidobacterium
1354,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,Actinobacteria Microbacteriaceae Cryobacterium
1360,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Pseudoramibacter,Firmicutes Eubacteriaceae Pseudoramibacter
1365,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium 1,Firmicutes Ruminococcaceae Ruminiclostridium 1
1380,#D0D0D0,189,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Candidatus Saccharimonas,Patescibacteria Saccharimonadaceae Candidatus Saccharimonas
1412,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Actinobacteria Propionibacteriaceae Cutibacterium
1417,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Rodentibacter,Proteobacteria Pasteurellaceae Rodentibacter
1426,#D0D0D0,189,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,Chlamydiae Parachlamydiaceae Neochlamydia
1428,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae NK3B31 group,Bacteroidetes Prevotellaceae Prevotellaceae NK3B31 group
1478,#6683EB,168,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,Firmicutes Bacillaceae Anoxybacillus
1493,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,CAG-352,Firmicutes Ruminococcaceae CAG-352
1525,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,metagenome,Bacteroidetes Muribaculaceae metagenome
1529,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-008,Firmicutes Ruminococcaceae Ruminococcaceae UCG-008
1543,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Caproiciproducens,Firmicutes Ruminococcaceae Caproiciproducens
1544,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Coriobacteriaceae UCG-002,Actinobacteria Atopobiaceae Coriobacteriaceae UCG-002
1550,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium sp. strain Z6,Firmicutes Ruminococcaceae Clostridium sp. strain Z6
1622,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Actinobacteria Bifidobacteriaceae Gardnerella
1640,#AF0000,206,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Proteobacteria Pseudomonadaceae Pseudomonas
1653,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae UCG-003,Firmicutes Lachnospiraceae Lachnospiraceae UCG-003
1660,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,Murdochiella,Firmicutes Family XI Murdochiella
1683,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae NC2004 group,Firmicutes Lachnospiraceae Lachnospiraceae NC2004 group
1718,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae UCG-001,Firmicutes Lachnospiraceae Lachnospiraceae UCG-001
1726,#F83333,195,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,Proteobacteria Enterobacteriaceae Serratia
1728,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ralstonia,Proteobacteria Burkholderiaceae Ralstonia
1755,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Eggerthia,Firmicutes Erysipelotrichaceae Eggerthia
1766,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Murimonas,Firmicutes Lachnospiraceae Murimonas
1819,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae UCG-010,Firmicutes Erysipelotrichaceae Erysipelotrichaceae UCG-010
1848,#F79D28,84,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Firmicutes Erysipelotrichaceae Holdemania
